      ,HOME       ,BH     ,BL     ,LH     ,RH     ,CM     ,LL     ,RL     ,F      ,FL     ,FR
HOME  ,0          ,6.036  ,6.466  ,5.416  ,5.516  ,5.286  ,5.576  ,5.556  ,5.556  ,5.986  ,5.846
BH    ,6.036      ,0      ,3.07   ,2.02   ,2.12   ,1.89   ,2.18   ,2.16   ,2.16   ,2.59   ,2.45
BL    ,6.466      ,3.07   ,0      ,2.45   ,2.55   ,2.32   ,2.61   ,2.59   ,2.59   ,3.02   ,2.88
LH    ,5.416      ,2.02   ,2.45   ,0      ,1.5    ,1.27   ,1.56   ,1.54   ,1.54   ,1.97   ,1.83
RH    ,5.516      ,2.12   ,2.55   ,1.5    ,0      ,1.37   ,1.66   ,1.64   ,1.64   ,2.07   ,1.93
CM    ,5.286      ,1.89   ,2.32   ,1.27   ,1.37   ,0      ,1.43   ,1.41   ,1.41   ,1.84   ,1.7
LL    ,5.576      ,2.18   ,2.61   ,1.56   ,1.66   ,1.43   ,0      ,1.7    ,1.7    ,2.13   ,1.99
RL    ,5.556      ,2.16   ,2.59   ,1.54   ,1.64   ,1.41   ,1.7    ,0      ,1.68   ,2.11   ,1.97
F     ,5.556      ,2.16   ,2.59   ,1.54   ,1.64   ,1.41   ,1.7    ,1.68   ,0      ,2.11   ,1.97
FL    ,5.986      ,2.59   ,3.02   ,1.97   ,2.07   ,1.84   ,2.13   ,2.11   ,2.11   ,0      ,2.4
FR    ,5.846      ,2.45   ,2.88   ,1.83   ,1.93   ,1.7    ,1.99   ,1.97   ,1.97   ,2.4    ,0
